model,file,bleu,chrf2,comet,cometkiwi,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci
facebook/nllb-200-3.3B,detok.twitter.sent.en.txt.out.postproc,40.898228790387606,57.27555149086818,79.89847519882022,76.51340549588204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.default.out.postproc,40.335111087571725,55.36888603298789,80.95555362403393,76.72904448732734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.footweets.out.postproc,41.16478057101142,55.95232847284014,76.32561386115849,71.29063715189695,300.0,0.4,1600.0,80.9408715276979,76.30740971055502,-4.633461817142865,0.60891491288282,-5.787573136738498,-3.4190823913086197,-4.6294052246958035,0.0,300.0,0.0,-131.79823834871772,6.595160324797687e-267,0.0,0.0,1.0,True,300.0,0.4,1600.0,76.70201222437744,71.26381085085993,-5.438201373517513,0.5253352484200666,-6.4867577592376655,-4.403894466813659,-5.406049115583301,0.0,300.0,0.0,-179.2996207479192,2.2765513629458732e-306,0.0,0.0,1.0,True,300.0,0.4,1600.0,40.31283889556032,41.11633907572803,0.8035001801677107,0.4538432810331537,-0.013138699312612957,1.6984783712601839,0.809698884258065,292.0,8.0,0.0,30.664839474390202,2.5380724658143143e-94,0.05333333333333334,0.9733333333333334,0.02666666666666667,False
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.mmtc.out.postproc,40.238792916421225,53.989449911961295,75.18918559923769,70.61960798352956,300.0,0.4,1600.0,80.9408715276979,75.1744427356869,-5.766428792010993,0.6200505330961062,-7.049766383599493,-4.621635125949979,-5.716415232978761,0.0,300.0,0.0,-161.07957517783458,1.3490707677629648e-292,0.0,0.0,1.0,True,300.0,0.4,1600.0,76.70201222437744,70.58014584721998,-6.1218663771574695,0.561839624532079,-7.259149191156034,-5.08265836569481,-6.104495764710011,0.0,300.0,0.0,-188.7261620469586,0.0,0.0,0.0,1.0,True,300.0,0.4,1600.0,40.31283889556032,40.21472978559261,-0.0981091099677175,0.41303659255805736,-0.8372007246776564,0.7492604491774825,-0.10897525467736813,117.0,183.0,0.0,-4.11416243042832,5.02886539438088e-05,0.78,0.39,0.61,False
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.pfsmb.out.postproc,41.65299807561399,56.45695877674163,77.58820508271455,72.6126921840012,300.0,0.4,1600.0,80.9408715276979,77.54441789779192,-3.3964536299059787,0.5685703112184263,-4.504760122112932,-2.3253636028151954,-3.340245488099758,0.0,300.0,0.0,-103.46706707112786,3.6995845976177e-236,0.0,0.0,1.0,True,300.0,0.4,1600.0,76.70201222437744,72.55342225089049,-4.14858997348696,0.48817640974481097,-5.144236854743212,-3.264207828277723,-4.124824231490493,0.0,300.0,0.0,-147.1920492349562,4.9227154919083057e-281,0.0,0.0,1.0,True,300.0,0.4,1600.0,40.31283889556032,41.610479781026335,1.297640885466015,0.42864686707645483,0.466038938225587,2.162640495550759,1.2899667339011067,300.0,0.0,0.0,52.43430236490959,8.531460621287767e-153,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.rocsmt.out.postproc,40.42339899915184,55.59536799031469,75.11372747123242,70.34305200427771,300.0,0.4,1600.0,80.9408715276979,75.12533158324038,-5.815539944457511,0.6384652774135738,-7.003240216709678,-4.597683583479369,-5.763756299391387,0.0,300.0,0.0,-157.76599000108047,6.27839772530455e-290,0.0,0.0,1.0,True,300.0,0.4,1600.0,76.70201222437744,70.33658462420726,-6.365427600170176,0.5780225804461734,-7.518076122738421,-5.30689002005384,-6.32450200244784,0.0,300.0,0.0,-190.7407147811705,0.0,0.0,0.0,1.0,True,300.0,0.4,1600.0,40.31283889556032,40.39323958284308,0.08040068728276482,0.4443549623904087,-0.7513071172569703,0.9408089958779853,0.07654447167995926,166.0,134.0,0.0,3.133937665241013,0.001895991025767349,0.8933333333333333,0.5533333333333333,0.44666666666666666,False
google/gemma-2-9b-it,detok.twitter.sent.en.txt.default.out.postproc,43.39511444342299,56.49614102168235,83.21802773922681,79.41345047801734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,detok.twitter.sent.en.txt.footweets.out.postproc,47.541875657580675,60.48033778271626,85.60270406901836,79.6812283091247,300.0,0.4,1600.0,83.20249255937836,85.58219898032026,2.379706420941899,0.21026979673756155,1.9717017455492152,2.8017804933246264,2.3646916076540903,300.0,0.0,0.0,196.02303764594674,0.0,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.3928699648132,79.66650125301132,0.2736312881981333,0.16409512274602928,-0.06598380929790092,0.6127963436767456,0.27308627776801986,283.0,17.0,0.0,28.882229146640334,1.6777256348238877e-88,0.11333333333333333,0.9433333333333334,0.056666666666666664,False,300.0,0.4,1600.0,43.379640747052456,47.510936004024124,4.131295256971663,0.31933018755776077,3.529182593938616,4.761142405951625,4.113572816324382,300.0,0.0,0.0,224.08195544772687,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.mmtc.out.postproc,46.9507885017882,58.98623764834044,85.27151354774833,79.89401373639703,300.0,0.4,1600.0,83.20249255937836,85.26417297159632,2.0616804122179744,0.20744492829230426,1.661021707532928,2.452118116524069,2.0562967397272534,300.0,0.0,0.0,172.13895043504675,3.972102088481835e-301,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.3928699648132,79.88003477986281,0.4871648150496186,0.16609932276005349,0.15581238023005206,0.7987471625208856,0.4883281970396669,300.0,0.0,0.0,50.80058108032005,4.244535928801212e-149,0.0,1.0,0.0,True,300.0,0.4,1600.0,43.379640747052456,46.927205255919965,3.547564508867511,0.330289704394609,2.899289822928897,4.195578356344792,3.5357679759226563,300.0,0.0,0.0,186.03552852938859,0.0,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.pfsmb.out.postproc,49.293644009771356,62.80392896021257,86.19652248248458,78.81344364807009,300.0,0.4,1600.0,83.20249255937836,86.17558619198078,2.9730936326024433,0.2276415862457401,2.530344876274462,3.4185043453238966,2.9677122980356243,300.0,0.0,0.0,226.21302690133194,0.0,0.0,1.0,0.0,True,300.0,0.4,1600.0,79.3928699648132,78.79974977123861,-0.5931201935745772,0.18105193284163817,-0.9553557990118888,-0.2602874482981898,-0.5951531585305925,0.0,300.0,0.0,-56.74141635178359,4.108182307176602e-162,0.0,0.0,1.0,True,300.0,0.4,1600.0,43.379640747052456,49.26256911700659,5.882928369954131,0.36189778411375007,5.21917252715151,6.591271528415195,5.874483833527979,300.0,0.0,0.0,281.5582543286915,0.0,0.0,1.0,0.0,True
